date,date,count_yt,count_ain,count_cons,count_msm,count_cchan,count_tweets
2018-10-08 09:00:00,2018-10-08 09:00:00,1216,1.0,0.0,1.0,1.0,117552
2019-02-12 05:00:00,2019-02-12 05:00:00,563,0.0,5.0,3.0,5.0,116806
2018-11-09 07:00:00,2018-11-09 07:00:00,1473,1.0,2.0,3.0,2.0,103247
2019-05-07 16:00:00,2019-05-07 16:00:00,924,1.0,0.0,2.0,1.0,169634
2019-03-18 23:00:00,2019-03-18 23:00:00,675,4.0,2.0,2.0,4.0,140020
2019-05-05 09:00:00,2019-05-05 09:00:00,968,1.0,0.0,0.0,0.0,133859
2019-05-22 10:00:00,2019-05-22 10:00:00,1504,0.0,0.0,4.0,2.0,152028
2019-02-25 01:00:00,2019-02-25 01:00:00,726,1.0,2.0,5.0,2.0,147097
2019-03-19 14:00:00,2019-03-19 14:00:00,992,2.0,0.0,1.0,1.0,202276
2019-02-09 22:00:00,2019-02-09 22:00:00,654,1.0,0.0,1.0,0.0,122033
2019-01-18 06:00:00,2019-01-18 06:00:00,1019,2.0,2.0,1.0,1.0,109275
2018-10-23 16:00:00,2018-10-23 16:00:00,1522,0.0,1.0,1.0,1.0,156655
2018-11-24 01:00:00,2018-11-24 01:00:00,1038,0.0,6.0,2.0,2.0,120920
2018-10-21 22:00:00,2018-10-21 22:00:00,1084,4.0,2.0,2.0,1.0,127791
2019-04-04 13:00:00,2019-04-04 13:00:00,1471,0.0,0.0,3.0,1.0,207939
2019-03-21 13:00:00,2019-03-21 13:00:00,1018,1.0,3.0,1.0,1.0,203184
2019-03-04 04:00:00,2019-03-04 04:00:00,664,2.0,2.0,1.0,1.0,124284
2019-01-04 07:00:00,2019-01-04 07:00:00,874,1.0,1.0,3.0,1.0,109980
2018-10-17 19:00:00,2018-10-17 19:00:00,1191,3.0,6.0,2.0,2.0,123598
2018-12-31 00:00:00,2018-12-31 00:00:00,1029,1.0,4.0,3.0,3.0,136443
2019-04-04 17:00:00,2019-04-04 17:00:00,861,3.0,2.0,2.0,4.0,158910
2019-03-15 00:00:00,2019-03-15 00:00:00,616,3.0,0.0,2.0,3.0,139051
2019-05-05 00:00:00,2019-05-05 00:00:00,659,5.0,0.0,4.0,5.0,132105
2018-11-30 05:00:00,2018-11-30 05:00:00,919,0.0,1.0,1.0,1.0,105629
2019-05-17 15:00:00,2019-05-17 15:00:00,1205,0.0,0.0,3.0,2.0,191683
2019-03-24 21:00:00,2019-03-24 21:00:00,639,0.0,2.0,5.0,7.0,139841
2019-03-23 15:00:00,2019-03-23 15:00:00,1497,1.0,2.0,3.0,1.0,201008
2019-03-19 01:00:00,2019-03-19 01:00:00,654,1.0,1.0,3.0,4.0,139900
2018-10-20 17:00:00,2018-10-20 17:00:00,1342,2.0,1.0,1.0,1.0,143435
2019-04-08 22:00:00,2019-04-08 22:00:00,772,3.0,2.0,2.0,3.0,141454
2018-12-22 20:00:00,2018-12-22 20:00:00,1070,2.0,2.0,0.0,3.0,110460
2018-11-03 00:00:00,2018-11-03 00:00:00,1259,2.0,2.0,4.0,3.0,125095
2019-05-07 03:00:00,2019-05-07 03:00:00,635,1.0,1.0,3.0,3.0,149958
2019-01-24 02:00:00,2019-01-24 02:00:00,1165,5.0,2.0,1.0,5.0,141399
2019-04-18 02:00:00,2019-04-18 02:00:00,630,2.0,0.0,9.0,4.0,143543
2019-05-27 16:00:00,2019-05-27 16:00:00,813,0.0,0.0,2.0,1.0,164706
2018-11-05 02:00:00,2018-11-05 02:00:00,1074,1.0,0.0,2.0,2.0,123065
2019-04-07 06:00:00,2019-04-07 06:00:00,730,1.0,0.0,1.0,0.0,121388
2019-03-14 10:00:00,2019-03-14 10:00:00,971,1.0,1.0,1.0,3.0,150684
2019-03-07 16:00:00,2019-03-07 16:00:00,888,2.0,1.0,5.0,1.0,167942
2019-03-22 01:00:00,2019-03-22 01:00:00,699,1.0,4.0,1.0,1.0,139378
