,all_recs,cons_recs
2019-04-13,18980.0,1058.0
2019-04-14,19048.0,1052.0
2019-04-15,19023.0,901.0
2019-04-16,19808.0,926.0
2019-04-17,19935.0,957.0
2019-04-18,19215.0,823.0
2019-04-19,16519.0,780.0
2019-04-20,11921.0,661.0
2019-04-21,18818.0,979.0
2019-04-22,19167.0,933.0
2019-04-23,19074.0,957.0
2019-04-24,19147.0,711.0
2019-04-25,20045.0,743.0
2019-04-26,16398.0,575.0
2019-04-27,18830.0,733.0
2019-04-28,19700.0,764.0
2019-04-29,19216.0,742.0
2019-04-30,19951.0,697.0
2019-05-01,20009.0,676.0
2019-05-02,19148.0,622.0
2019-05-03,19163.0,605.0
2019-05-04,19009.0,604.0
2019-05-05,19704.0,644.0
2019-05-06,18766.0,550.0
2019-05-07,19215.0,578.0
2019-05-08,19862.0,578.0
2019-05-09,19883.0,591.0
2019-05-10,20284.0,602.0
2019-05-11,19684.0,591.0
2019-05-12,19926.0,565.0
2019-05-13,19278.0,527.0
2019-05-14,19518.0,528.0
2019-05-15,17206.0,528.0
2019-05-16,17428.0,528.0
2019-05-17,19087.0,528.0
2019-05-18,19717.0,528.0
2019-05-19,19364.0,528.0
2019-05-20,6021.0,528.0
2019-05-21,20015.0,528.0
2019-05-22,19379.0,528.0
2019-05-23,19293.0,528.0
2019-05-24,19420.0,528.0
2019-05-25,19474.0,528.0
2019-05-26,19013.0,528.0
2019-05-27,19275.0,528.0
2019-05-28,19472.0,528.0
2019-05-29,19500.0,528.0
2019-05-30,19397.0,528.0
2019-05-31,19273.0,528.0
