,all_recs,cons_recs
2019-04-13,18967.0,1071.0
2019-04-14,19030.0,1070.0
2019-04-15,19010.0,914.0
2019-04-16,19791.0,943.0
2019-04-17,19922.0,970.0
2019-04-18,19202.0,836.0
2019-04-19,16512.0,787.0
2019-04-20,11915.0,667.0
2019-04-21,18810.0,987.0
2019-04-22,19159.0,941.0
2019-04-23,19063.0,968.0
2019-04-24,19136.0,722.0
2019-04-25,20026.0,762.0
2019-04-26,16388.0,585.0
2019-04-27,18819.0,744.0
2019-04-28,19686.0,778.0
2019-04-29,19205.0,753.0
2019-04-30,19932.0,716.0
2019-05-01,19996.0,689.0
2019-05-02,19132.0,638.0
2019-05-03,19142.0,626.0
2019-05-04,18965.0,648.0
2019-05-05,19668.0,680.0
2019-05-06,18718.0,598.0
2019-05-07,19175.0,618.0
2019-05-08,19811.0,629.0
2019-05-09,19821.0,653.0
2019-05-10,20226.0,660.0
2019-05-11,19634.0,641.0
2019-05-12,19867.0,624.0
2019-05-13,19183.0,622.0
2019-05-14,19430.0,616.0
2019-05-15,17135.0,519.0
2019-05-16,17367.0,520.5
2019-05-17,19014.0,522.0
2019-05-18,19703.0,523.5
2019-05-19,19266.0,525.0
2019-05-20,6002.0,556.0
2019-05-21,19893.0,587.0
2019-05-22,19291.0,568.3333333333334
2019-05-23,19224.0,549.6666666666666
2019-05-24,19331.0,531.0
2019-05-25,19418.0,532.0
2019-05-26,18933.0,533.0
2019-05-27,19189.0,510.0
2019-05-28,19403.0,503.0
2019-05-29,19398.0,538.0
2019-05-30,19332.0,538.0
2019-05-31,19205.0,538.0
